idx	label	R	G	B	A	type
253	Left_Region_253	234	97	146	0	cerebellar
254	Region_254	234	98	143	0	cortical
255	Left_Region_255	234	98	141	0	cerebellar
256	Left_Region_256	233	99	138	0	cerebellar
257	Region_257	233	100	135	0	cortical
258	Left_Region_258	233	100	133	0	subcortical
259	Left_Region_259	232	101	130	0	subcortical
260	Region_260	232	102	127	0	cortical
261	Left_Region_261	231	103	124	0	subcortical
262	Left_Region_262	231	103	122	0	subcortical
263	Left_Region_263	230	104	119	0	subcortical
264	Left_Region_264	230	105	116	0	subcortical
265	Left_Region_265	229	106	113	0	subcortical
266	Left_Region_266	228	107	110	0	cerebellar
267	Left_Region_267	228	107	107	0	cerebellar
268	Region_268	227	108	104	0	cortical
